CUSTOMER_KEY,year,month,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,email_sub,email_unsub,form_submission,forward_receipt,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_sth,primary_purchase_suite,secondary_purchase,secondary_sale,text_incoming_from_customer,text_outgoing_to_customer,Totals,AVG_TIME_DAYS_purchase,0-200_purchase,200-800_purchase,800+_purchase,percent_open,percent_click
-8897867471703875631,4489030,17060,499,0,46,0,336,0,1338,0,0,2,0,0,4,1,0,440,0,0,0,0,6,0,1,29,0,1,2221,62.0,1,0,0,0.25112107623318386,0.13690476190476192
-8896661390588201567,4289592,14951,330,0,31,0,899,0,859,0,0,1,0,1,51,3,0,234,0,1,0,0,6,0,0,16,0,0,2122,94.0,1,0,0,1.0465657741559953,0.034482758620689655
-8698335653890176345,4000722,15739,387,1,67,0,417,0,1106,0,0,8,0,25,36,2,2,268,0,1,0,2,15,0,1,4,0,0,1980,44.0,1,0,0,0.3770343580470163,0.1606714628297362
-8580755919297455556,34307,163,17,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,17,364.0,0,1,0,,
-8210568725332993334,4676622,16961,779,1,50,0,822,2,658,0,0,3,1,10,75,1,0,640,0,2,0,0,5,0,0,2,1,0,2314,120.0,1,0,0,1.249240121580547,0.06082725060827251
-8195284402187019503,5781381,21187,44,0,60,0,1695,0,1060,0,0,3,0,2,9,0,0,0,0,1,0,0,6,0,0,22,0,0,2861,73.0,1,0,0,1.599056603773585,0.035398230088495575
-8159782534830694881,6252370,23283,173,0,38,2,2004,1,875,0,0,2,0,0,0,2,4,108,0,0,0,0,4,0,0,0,0,0,3095,258.0,0,1,0,2.2902857142857145,0.018962075848303395
-8120481864991788040,3360342,13333,539,0,51,6,519,4,539,0,0,3,0,0,20,3,0,480,0,0,0,1,6,0,0,0,0,0,1662,372.0,0,1,0,0.9628942486085343,0.09826589595375723
-7869797483766675357,3925806,15485,187,1,59,0,617,0,1076,0,0,11,0,0,31,3,2,123,0,0,0,1,6,0,0,0,0,0,1943,272.0,0,1,0,0.5734200743494424,0.09562398703403566
-7506021333095877586,3303754,13032,503,0,100,7,559,4,455,0,0,10,0,2,9,4,2,443,2,0,0,0,4,0,0,1,0,0,1634,161.0,1,0,0,1.2285714285714286,0.17889087656529518
-7404045107199364117,3558708,13681,270,0,52,1,342,1,1091,0,0,5,0,1,10,3,0,190,0,1,0,0,6,0,0,0,0,0,1761,311.0,0,1,0,0.31347387717690195,0.15204678362573099
-7191743863707500625,2680065,9001,3,0,26,0,918,0,380,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1327,1080.0,0,0,1,2.4157894736842107,0.02832244008714597
-6758437822122136005,3101627,11804,119,6,89,3,431,1,884,0,0,2,0,2,11,2,0,47,0,0,1,1,6,0,0,11,0,0,1535,108.0,1,0,0,0.48755656108597284,0.20649651972157773
-6711807185921328001,810569,2994,58,0,28,0,241,0,71,0,0,4,0,1,25,1,0,13,0,1,0,0,5,0,1,3,0,0,401,172.0,1,0,0,3.3943661971830985,0.11618257261410789
-6586413324577422905,4522276,18030,1571,0,58,2,222,1,378,0,0,6,0,14,15,2,2,1499,0,1,0,0,3,0,0,13,0,0,2236,27.0,1,0,0,0.5873015873015873,0.26126126126126126
-6095231887445666383,1458728,6035,470,0,28,18,72,14,116,0,0,1,0,0,1,2,0,451,0,1,0,1,1,0,0,3,0,0,721,40.0,1,0,0,0.6206896551724138,0.3888888888888889
-6068017715700227901,3547068,13480,535,0,36,0,353,0,828,0,0,3,0,49,26,3,3,404,0,1,0,0,6,0,0,0,0,0,1755,37.0,1,0,0,0.42632850241545894,0.10198300283286119
-5840891320094669456,2034190,7548,436,0,25,30,253,24,237,0,0,3,0,0,20,0,1,367,0,1,0,0,6,0,0,1,0,0,1006,282.0,0,1,0,1.0675105485232068,0.09881422924901186
-5467205524749649393,5796194,21632,193,0,85,4,1611,4,970,0,0,10,0,0,12,2,1,39,0,0,0,1,6,0,0,2,0,0,2869,240.0,0,1,0,1.6608247422680413,0.05276225946617008
-4331856551410426032,1165235,4445,285,0,23,4,161,4,95,1,0,0,0,1,7,3,1,206,0,1,0,0,5,0,0,4,0,0,576,198.0,1,0,0,1.694736842105263,0.14285714285714285
-4204985233017533837,2854574,10531,160,0,37,0,663,0,550,0,0,11,0,1,7,2,6,104,0,0,0,0,3,0,0,0,0,0,1412,121.0,1,0,0,1.2054545454545456,0.05580693815987934
-3239475699538027033,32357,117,15,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,1,0,0,5,0,0,16,23.0,1,0,0,,
-3077378307246032515,13650842,59037,101,0,138,6,5734,5,772,0,0,7,0,0,45,1,0,0,0,0,0,1,4,0,1,37,0,0,6757,51.0,1,0,0,7.427461139896373,0.024066968957098013
-2877434400393545826,1445527,5352,59,0,79,2,209,0,364,0,0,1,0,0,8,1,0,38,0,0,0,1,3,0,0,9,0,0,715,91.0,1,0,0,0.5741758241758241,0.37799043062200954
-2558903695201646452,4661987,17182,149,3,64,11,909,8,1163,0,0,0,0,4,13,0,10,0,0,2,1,2,6,2,1,9,0,0,2307,61.0,1,0,0,0.7815993121238177,0.0704070407040704
-1979935243077031303,3774670,14296,361,0,39,4,366,4,1089,0,0,9,0,2,40,4,15,242,0,0,0,0,16,0,0,4,1,0,1868,63.0,1,0,0,0.33608815426997246,0.10655737704918032
-1716837450525596219,4925764,15677,506,3,43,2,901,2,979,0,0,2,0,1,11,0,0,444,0,1,1,1,5,0,0,1,0,0,2436,249.0,0,1,0,0.9203268641470889,0.04772475027746948
-931453209005208619,8368040,29101,242,2,139,0,2850,0,906,0,0,7,0,0,46,3,0,81,0,4,0,0,8,0,0,20,0,0,4142,58.0,1,0,0,3.1456953642384105,0.048771929824561404
-454087524518361886,1040689,3709,47,0,5,0,303,0,156,1,0,0,0,0,16,3,0,0,0,1,0,0,6,0,0,11,0,0,515,128.0,1,0,0,1.9423076923076923,0.0165016501650165
-418822569341332414,2115835,7700,374,0,28,15,381,15,232,0,0,8,0,0,12,1,3,269,0,0,0,1,4,1,1,5,0,0,1046,39.0,1,0,0,1.6422413793103448,0.07349081364829396
-400064366797626086,2953272,10782,633,0,35,1,503,1,284,0,0,3,0,0,8,2,8,591,0,1,0,0,10,0,0,9,0,0,1460,24.0,1,0,0,1.7711267605633803,0.06958250497017893
-300743978528911650,3295710,12358,121,0,66,1,248,1,1191,0,0,3,0,0,2,2,0,16,0,0,0,1,16,0,2,65,1,0,1631,26.0,1,0,0,0.20822837951301426,0.2661290322580645
-175562947223119480,5795310,22169,387,0,45,3,929,3,1498,0,0,10,0,1,16,3,0,327,0,1,0,0,6,0,0,15,0,0,2868,99.0,1,0,0,0.6201602136181575,0.04843918191603875
254584795326485263,3168794,11765,74,0,41,2,646,2,801,0,0,0,0,1,5,2,1,34,0,1,0,0,6,0,0,26,0,0,1568,64.0,1,0,0,0.8064918851435705,0.06346749226006192
393448136730934774,3463441,12550,103,0,31,0,450,0,1128,0,0,1,0,0,24,2,0,50,0,1,0,0,6,0,2,16,0,0,1714,88.0,1,0,0,0.39893617021276595,0.06888888888888889
604243107331869875,3366353,13178,108,0,77,1,863,1,613,0,0,5,0,2,11,3,0,23,0,1,0,1,6,0,7,16,0,0,1666,71.0,1,0,0,1.4078303425774878,0.08922363847045191
771589678840763389,2025970,8031,254,0,37,0,64,0,644,0,0,9,0,21,13,3,0,152,0,0,0,0,15,0,0,29,0,0,1002,34.0,1,0,0,0.09937888198757763,0.578125
890487869808200412,3417554,11936,173,0,68,3,773,1,670,0,0,7,0,0,5,3,0,56,0,1,0,1,8,0,1,56,0,0,1691,32.0,1,0,0,1.153731343283582,0.08796895213454076
1704327229896421330,7177341,27990,554,0,105,8,1483,7,1393,0,0,8,0,1,12,1,0,415,0,0,0,1,7,0,2,38,0,0,3552,47.0,1,0,0,1.0646087580760948,0.07080242751180041
2693525135893170045,3318133,12349,183,0,41,6,293,5,1111,0,0,4,0,1,22,2,0,126,0,1,0,0,5,0,1,12,0,0,1642,114.0,1,0,0,0.26372637263726373,0.13993174061433447
2966834844117457204,582104,2353,16,0,17,0,49,0,206,0,0,0,0,1,8,0,0,0,0,0,0,0,1,0,0,0,0,0,288,41.0,1,0,0,0.23786407766990292,0.3469387755102041
3045489451664596987,2973512,11358,807,0,62,2,69,2,525,0,0,9,0,2,6,0,10,706,0,1,0,5,8,0,3,4,0,0,1470,32.0,1,0,0,0.13142857142857142,0.8985507246376812
3066313029363938423,4921166,19692,620,2,46,0,712,1,1051,0,0,9,0,2,25,3,1,547,0,0,1,1,8,0,0,3,0,0,2435,149.0,1,0,0,0.6774500475737393,0.06460674157303371
3404136130604195296,3172904,11168,55,0,38,0,393,0,1083,0,0,3,0,0,21,0,0,0,0,1,0,0,6,0,0,5,0,0,1570,198.0,1,0,0,0.3628808864265928,0.09669211195928754
3517666645570083718,4324873,16404,398,0,81,4,960,4,693,0,0,8,0,2,26,0,0,328,0,0,0,1,6,0,0,0,0,0,2140,272.0,0,1,0,1.3852813852813852,0.084375
3556035276995380544,7156331,28235,1061,0,156,0,1173,0,1148,0,0,11,0,0,15,3,9,981,0,0,0,1,6,0,0,0,0,0,3541,145.0,1,0,0,1.0217770034843205,0.1329923273657289
4025906962291262755,574450,2021,45,0,9,0,29,0,201,0,0,1,0,3,9,0,0,0,0,0,0,0,3,0,0,0,0,0,284,121.0,1,0,0,0.14427860696517414,0.3103448275862069
4192463240110960628,4809503,18928,347,0,26,0,598,0,1408,0,0,4,0,1,23,1,1,267,0,1,0,0,6,0,0,0,0,0,2380,272.0,0,1,0,0.4247159090909091,0.043478260869565216
4687349259707683729,3232145,12599,139,0,21,4,596,2,836,0,0,2,0,1,15,2,1,64,0,0,0,1,6,0,0,0,0,0,1600,272.0,0,1,0,0.7129186602870813,0.03523489932885906
4775121988834906613,7501881,28624,56,0,72,0,3152,1,430,1,0,3,0,0,0,0,0,0,0,0,0,0,15,0,0,20,0,0,3712,64.0,1,0,0,7.330232558139535,0.02284263959390863
4834881653261155336,2268403,8726,88,0,37,0,376,0,616,0,1,3,0,0,8,2,1,44,0,0,0,1,6,0,0,25,0,0,1123,70.0,1,0,0,0.6103896103896104,0.09840425531914894
5417260157455361382,127332,486,49,0,0,6,0,6,0,0,0,1,0,0,10,1,0,0,0,0,0,1,5,0,0,15,0,0,63,108.0,1,0,0,,
5417342769358405769,3017402,11870,296,0,29,0,249,0,915,0,0,1,0,13,30,3,0,236,0,1,0,0,6,0,0,0,0,0,1493,114.0,1,0,0,0.2721311475409836,0.11646586345381527
6410548664889797760,5734038,22366,1041,0,76,3,865,0,849,0,0,2,0,6,13,3,0,888,0,0,0,1,6,0,0,0,0,0,2837,181.0,1,0,0,1.0188457008244993,0.08786127167630058
6478417765379799167,1049948,3483,297,0,15,3,19,3,180,0,0,2,0,0,1,2,0,269,0,0,0,1,3,0,0,15,0,0,519,31.0,1,0,0,0.10555555555555556,0.7894736842105263
6550676883547163264,204388,583,11,4,6,0,44,0,36,0,0,1,0,1,2,0,0,2,0,1,0,0,6,0,0,0,0,0,101,26.0,1,0,0,1.2222222222222223,0.13636363636363635
6725140266661876374,1494409,5647,141,0,15,1,111,0,469,0,0,0,0,2,19,1,1,98,0,0,0,0,2,0,2,5,1,0,739,77.0,1,0,0,0.23667377398720682,0.13513513513513514
7127408273158807189,5256159,20054,432,0,88,13,784,6,1274,0,0,3,0,3,19,3,1,355,1,0,0,1,6,0,0,9,0,0,2601,114.0,1,0,0,0.6153846153846154,0.11224489795918367
7194350603631272983,430964,1589,96,0,3,0,46,0,65,0,0,3,0,6,1,0,0,78,0,0,0,0,1,0,0,0,0,0,213,26.0,1,0,0,0.7076923076923077,0.06521739130434782
7332852964466985898,758845,2705,21,0,0,0,286,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,376,0.0,0,0,1,4.144927536231884,0.0
7601547165278297400,1752279,6891,231,0,13,7,152,6,456,0,0,3,0,0,7,2,1,166,0,0,0,1,6,0,0,0,0,0,867,312.0,0,1,0,0.3333333333333333,0.08552631578947369
7769703164316329325,1824816,7103,168,0,20,0,93,1,620,0,0,2,0,0,3,1,0,86,0,1,0,0,6,0,1,2,0,0,903,242.0,0,1,0,0.15,0.21505376344086022
8579213743319812188,1199119,4485,120,2,22,0,80,0,367,0,0,2,0,1,1,1,0,68,0,0,0,2,5,0,2,34,0,0,593,52.0,1,0,0,0.21798365122615804,0.275
8646901965578759618,6059555,21989,411,0,109,0,1133,0,1340,0,0,13,0,1,18,3,8,295,2,1,0,1,9,0,1,0,0,0,2998,106.0,1,0,0,0.8455223880597015,0.09620476610767872
8651884975016528272,810640,2768,57,0,13,2,105,1,223,0,0,0,0,0,27,0,0,0,0,0,0,1,6,0,0,19,0,0,401,87.0,1,0,0,0.47085201793721976,0.12380952380952381
8987411357869525203,3340701,12835,383,0,29,1,638,1,597,0,0,2,0,0,19,3,0,312,0,1,0,0,6,0,1,1,0,0,1653,272.0,0,1,0,1.068676716917923,0.045454545454545456
